PS P:\James\Code\Javascript\Decode Drawings V5\js\geneticAlgorithm> node .\algorithm.js
Gen 0: 0.028760715472732776 - fx: 615  fy: 615  cx 640  cy 360  k1 0  tx 0  ty 0
Running in Node without canvas
Gen 1: 0.028422849995106508 - fx: 614.257185220331  fy: 614.4453454997582  cx 640.286897358788  cy 359.1532894504732  k1 6.54274795760745e-9  tx 1.1153583661931625  ty 0.5359872403849391
Gen 2: 0.028047352198206643 - fx: 615.2143231890255  fy: 614.5525579279632  cx 641.3641577505063  cy 360.8178501295285  k1 9.093447070987076e-9  tx -0.1631027587882894  ty -2.8152479359403495
Gen 5: 0.027927414482198428 - fx: 616.1124448315876  fy: 615.2481005515167  cx 642.6880621558755  cy 361.2233659973539  k1 1.7005116653498717e-8  tx 1.8315555195435467  ty -3.1661763967104903
Gen 7: 0.027774708143193067 - fx: 616.1958093387203  fy: 617.0044801940167  cx 642.0808851911733  cy 361.40805679873523  k1 3.329183462980634e-8  tx -1.0400614384026587  ty -4.553397274331007
Gen 8: 0.027751647734428873 - fx: 616.1958093387203  fy: 617.0044801940167  cx 642.0808851911733  cy 361.40805679873523  k1 3.329183462980634e-8  tx -1.0400614384026587  ty -4.553397274331007
Gen 9: 0.02751433816842306 - fx: 615.1814253931037  fy: 615.3621643644042  cx 643.3518941229581  cy 359.17593606833924  k1 3.155787021488832e-8  tx -0.22113567572247383  ty -0.10509387198003228
Gen 10: 0.027501218916074963 - fx: 615.1814253931037  fy: 615.3621643644042  cx 643.3518941229581  cy 359.17593606833924  k1 3.155787021488832e-8  tx -0.22113567572247383  ty -0.10509387198003228
Gen 11: 0.02723497017118819 - fx: 614.5794125677502  fy: 615.7016346548937  cx 643.2886860034017  cy 359.43852015580444  k1 3.980516285170383e-8  tx -0.3282597342725335  ty -0.4645093802910756
Gen 12: 0.027139964697209362 - fx: 614.3662376389844  fy: 615.3864541626298  cx 643.0733819485524  cy 358.80159830077093  k1 4.9569010952977666e-8  tx 0.9746111323588149  ty 0.41730494847642063
Gen 14: 0.027009909350443118 - fx: 614.503069063411  fy: 614.9825113032754  cx 642.5908941805797  cy 358.64871963083704  k1 5.9442713033840345e-8  tx -0.28087793969776875  ty 2.0251217707295064
Gen 19: 0.026860370668219925 - fx: 615.0297014521669  fy: 614.9024539998425  cx 643.0042191118602  cy 359.212186162968  k1 7.614746517996036e-8  tx -0.8343878689843116  ty 3.507108922720591
Gen 20: 0.026661802696231727 - fx: 614.850885700045  fy: 615.6295607399757  cx 643.302753998988  cy 359.21983748815677  k1 8.607169063133596e-8  tx 0.925317392911186  ty 1.7420927445897485
Gen 21: 0.026638473349220253 - fx: 614.850885700045  fy: 615.6295607399757  cx 643.302753998988  cy 359.21983748815677  k1 8.607169063133596e-8  tx 0.925317392911186  ty 1.7420927445897485
Gen 22: 0.026499244513038065 - fx: 615.4664674845027  fy: 617.6081635140173  cx 644.7973793600152  cy 359.47329360794646  k1 7.913357886804235e-8  tx 0.41831868333560074  ty 3.3014178946325545
Gen 23: 0.026404304921697416 - fx: 616.2065527992311  fy: 614.9505993272711  cx 646.0664425016304  cy 359.312130998043  k1 7.707180782827128e-8  tx -1.2441991827330963  ty 2.2033828482878395
Gen 24: 0.026057557347702705 - fx: 615.6946549767846  fy: 614.7728581387584  cx 646.604231104453  cy 358.1670891485073  k1 8.663684239540299e-8  tx 0.7796903976721641  ty 2.0878376894481265
Gen 27: 0.026008364819370588 - fx: 614.8159355635837  fy: 616.7188317939992  cx 646.8222734741073  cy 356.29513066489693  k1 9.264823284384173e-8  tx 3.6191025444761626  ty 1.4998501299302518
Gen 29: 0.026002224623983224 - fx: 614.8159355635837  fy: 616.7188317939992  cx 646.8222734741073  cy 356.29513066489693  k1 9.264823284384173e-8  tx 3.6191025444761626  ty 1.4998501299302518
Gen 31: 0.025943167883860217 - fx: 613.8715788337311  fy: 616.6898146656597  cx 647.2450681226092  cy 355.7583267082545  k1 1.0051990221193646e-7  tx 3.4005408905398333  ty -0.22888442925993058
Gen 33: 0.025659814476058508 - fx: 614.5401854924725  fy: 616.1664073849422  cx 648.1577069978164  cy 355.120586255942  k1 1.1806864691024688e-7  tx 2.5272080311902947  ty 2.6354439930864197
Gen 34: 0.02551620994348801 - fx: 615.070837423835  fy: 615.6493962190497  cx 649.0860245529758  cy 355.3429772275201  k1 1.2081852814788512e-7  tx 1.351684896726895  ty 2.3923823998042026
Gen 35: 0.025110294685532487 - fx: 611.3098668936985  fy: 615.3465570785282  cx 650.0166121733312  cy 354.35214243915146  k1 1.2573524921684402e-7  tx 0.5370669496674294  ty 3.4497301724891622
Gen 37: 0.02510708682144947 - fx: 611.3098668936985  fy: 615.3465570785282  cx 650.0166121733312  cy 354.35214243915146  k1 1.2573524921684402e-7  tx 0.5370669496674294  ty 3.4497301724891622
Gen 39: 0.025098462823302223 - fx: 611.3098668936985  fy: 615.3465570785282  cx 650.0166121733312  cy 354.35214243915146  k1 1.2573524921684402e-7  tx 0.5370669496674294  ty 3.4497301724891622
Gen 41: 0.025068097349463057 - fx: 616.6189173233337  fy: 612.2417633113135  cx 650.1898770577047  cy 355.0496935897945  k1 1.2826291478133262e-7  tx -5.953364192315547  ty -2.4628564009462677
Gen 42: 0.02505299890792751 - fx: 616.6189173233337  fy: 612.2417633113135  cx 650.1898770577047  cy 355.0496935897945  k1 1.2826291478133262e-7  tx -5.953364192315547  ty -2.4628564009462677
